# Selection   : all
# Cells       : 440
# Volume      : 7.374263e+01
# Time        	max(p)
12.2          	1.966080e+00
12.25         	1.902114e+00
12.3          	1.991615e+00
12.35         	1.988956e+00
12.4          	1.986924e+00
12.45         	1.992919e+00
12.5          	1.993490e+00
12.55         	1.995373e+00
12.6          	2.048475e+00
12.65         	2.045400e+00
12.7          	2.063853e+00
12.75         	2.061477e+00
12.8          	2.082564e+00
12.85         	2.097366e+00
12.9          	2.134471e+00
12.95         	2.141373e+00
13            	2.145537e+00
13.05         	2.149034e+00
13.1          	2.150933e+00
13.15         	2.151012e+00
13.2          	2.145762e+00
13.25         	2.152907e+00
13.3          	2.160275e+00
13.35         	2.138605e+00
13.4          	2.125218e+00
13.45         	2.194204e+00
13.5          	2.174677e+00
13.55         	2.176385e+00
13.6          	2.182141e+00
13.65         	2.181241e+00
13.7          	2.173563e+00
13.75         	2.190776e+00
13.8          	2.188094e+00
13.85         	2.190833e+00
13.9          	2.201282e+00
13.95         	2.210627e+00
14            	2.247687e+00
14.05         	2.251108e+00
14.1          	2.242772e+00
14.15         	2.228756e+00
14.2          	2.231030e+00
14.25         	2.221018e+00
14.3          	2.208184e+00
14.35         	2.195654e+00
14.4          	2.173949e+00
14.45         	2.155256e+00
14.5          	2.109286e+00
14.55         	2.093586e+00
14.6          	2.064230e+00
14.65         	2.042114e+00
14.7          	2.027421e+00
14.75         	2.015943e+00
14.8          	2.003889e+00
14.85         	1.987794e+00
14.9          	1.979591e+00
14.95         	1.983838e+00
15            	1.969323e+00
15.05         	1.960054e+00
15.1          	1.974689e+00
15.15         	1.970020e+00
15.2          	1.997758e+00
15.25         	2.005570e+00
15.3          	2.027711e+00
15.35         	2.036279e+00
15.4          	2.054224e+00
15.45         	2.082552e+00
15.5          	2.105545e+00
15.55         	2.130215e+00
15.6          	2.158591e+00
15.65         	2.175752e+00
15.7          	2.187933e+00
15.75         	2.215412e+00
15.8          	2.247071e+00
15.85         	2.270871e+00
15.9          	2.293477e+00
15.95         	2.316063e+00
16            	2.321359e+00
16.05         	2.338345e+00
16.1          	2.346164e+00
16.15         	2.357126e+00
16.2          	2.366497e+00
16.25         	2.399458e+00
16.3          	2.426741e+00
16.35         	2.408393e+00
16.4          	2.411777e+00
16.45         	2.414359e+00
16.5          	2.414876e+00
16.55         	2.415545e+00
16.6          	2.451924e+00
16.65         	2.401153e+00
16.7          	2.402735e+00
16.75         	2.395095e+00
16.8          	2.365059e+00
16.85         	2.360520e+00
16.9          	2.373341e+00
16.95         	2.368098e+00
17            	2.370741e+00
17.05         	2.350937e+00
17.1          	2.335023e+00
17.15         	2.357549e+00
17.2          	2.311758e+00
17.25         	2.332725e+00
17.3          	2.341239e+00
17.35         	2.318360e+00
17.4          	2.350678e+00
17.45         	2.355315e+00
17.5          	2.366351e+00
17.55         	2.371889e+00
17.6          	2.319737e+00
17.65         	2.288370e+00
17.7          	2.286823e+00
17.75         	2.275586e+00
17.8          	2.267690e+00
17.85         	2.250945e+00
17.9          	2.239688e+00
17.95         	2.234910e+00
18            	2.230853e+00
18.05         	2.236291e+00
18.1          	2.228975e+00
18.15         	2.217695e+00
18.2          	2.194766e+00
18.25         	2.179174e+00
18.3          	2.143715e+00
18.35         	2.127635e+00
18.4          	2.105372e+00
18.45         	2.171530e+00
18.5          	2.171219e+00
18.55         	2.204923e+00
18.6          	2.215621e+00
18.65         	2.230879e+00
18.7          	2.246183e+00
18.75         	2.268138e+00
18.8          	2.261324e+00
18.85         	2.262581e+00
18.9          	2.281260e+00
18.95         	2.282958e+00
19            	2.282775e+00
19.05         	2.282007e+00
19.1          	2.277623e+00
19.15         	2.276043e+00
19.2          	2.273023e+00
19.25         	2.278346e+00
19.3          	2.305984e+00
19.35         	2.312875e+00
19.4          	2.295599e+00
19.45         	2.303711e+00
19.5          	2.299600e+00
19.55         	2.309805e+00
19.6          	2.316484e+00
19.65         	2.320748e+00
19.7          	2.318426e+00
19.75         	2.306091e+00
19.8          	2.287692e+00
19.85         	2.278095e+00
19.9          	2.274170e+00
19.95         	2.293791e+00
20            	2.270496e+00
20.05         	2.255368e+00
20.1          	2.231048e+00
20.15         	2.202632e+00
20.2          	2.183165e+00
20.25         	2.151248e+00
20.3          	2.113541e+00
20.35         	2.093807e+00
20.4          	2.065204e+00
20.45         	2.042936e+00
20.5          	2.014691e+00
20.55         	1.987937e+00
20.6          	1.966660e+00
20.65         	1.942706e+00
20.7          	1.949009e+00
20.75         	1.935584e+00
20.8          	1.924244e+00
20.85         	1.923681e+00
20.9          	1.908335e+00
20.95         	1.940603e+00
21            	1.943716e+00
21.05         	1.961104e+00
21.1          	1.964249e+00
21.15         	1.968043e+00
21.2          	1.986482e+00
21.25         	2.001629e+00
21.3          	2.016495e+00
21.35         	2.025483e+00
21.4          	2.028686e+00
21.45         	2.052204e+00
21.5          	2.070642e+00
21.55         	2.104674e+00
21.6          	2.149169e+00
21.65         	2.165235e+00
21.7          	2.193663e+00
21.75         	2.199969e+00
21.8          	2.245152e+00
21.85         	2.273000e+00
21.9          	2.283495e+00
21.95         	2.294369e+00
22            	2.306759e+00
22.05         	2.333768e+00
22.1          	2.344913e+00
22.15         	2.375325e+00
22.2          	2.390990e+00
22.25         	2.412452e+00
22.3          	2.399896e+00
22.35         	2.407769e+00
22.4          	2.393439e+00
22.45         	2.368439e+00
22.5          	2.414482e+00
22.55         	2.397516e+00
22.6          	2.389395e+00
22.65         	2.391518e+00
22.7          	2.377949e+00
22.75         	2.344090e+00
22.8          	2.310690e+00
22.85         	2.319767e+00
22.9          	2.306619e+00
22.95         	2.292448e+00
23            	2.280615e+00
23.05         	2.308004e+00
23.1          	2.263107e+00
23.15         	2.261669e+00
23.2          	2.239275e+00
23.25         	2.257647e+00
23.3          	2.266247e+00
23.35         	2.244647e+00
23.4          	2.255302e+00
23.45         	2.256736e+00
23.5          	2.259842e+00
23.55         	2.257340e+00
23.6          	2.150012e+00
23.65         	2.151969e+00
23.7          	2.154282e+00
23.75         	2.144859e+00
23.8          	2.126840e+00
23.85         	2.114480e+00
23.9          	2.098491e+00
23.95         	2.094722e+00
24            	2.092216e+00
24.05         	2.092296e+00
24.1          	2.087810e+00
24.15         	2.096960e+00
24.2          	2.081344e+00
24.25         	2.062442e+00
24.3          	2.054564e+00
24.35         	2.032970e+00
24.4          	2.050615e+00
24.45         	2.038157e+00
24.5          	2.071635e+00
24.55         	2.071081e+00
24.6          	2.091995e+00
24.65         	2.088474e+00
24.7          	2.101707e+00
24.75         	2.133568e+00
24.8          	2.151742e+00
24.85         	2.156663e+00
24.9          	2.168341e+00
24.95         	2.182967e+00
25            	2.190387e+00
25.05         	2.193497e+00
25.1          	2.191782e+00
25.15         	2.187963e+00
25.2          	2.196991e+00
25.25         	2.193546e+00
25.3          	2.201006e+00
25.35         	2.187971e+00
25.4          	2.200770e+00
25.45         	2.218588e+00
25.5          	2.226604e+00
25.55         	2.230549e+00
25.6          	2.231662e+00
25.65         	2.227350e+00
25.7          	2.260588e+00
25.75         	2.257131e+00
25.8          	2.246671e+00
25.85         	2.238007e+00
25.9          	2.238538e+00
25.95         	2.246048e+00
26            	2.239745e+00
26.05         	2.244163e+00
26.1          	2.249516e+00
26.15         	2.228321e+00
26.2          	2.210557e+00
26.25         	2.178357e+00
26.3          	2.160164e+00
26.35         	2.125150e+00
26.4          	2.101781e+00
26.45         	2.074258e+00
26.5          	2.048944e+00
26.55         	2.020891e+00
26.6          	2.000468e+00
26.65         	1.982044e+00
26.7          	1.968718e+00
26.75         	1.960648e+00
26.8          	1.948114e+00
26.85         	1.950377e+00
26.9          	1.955532e+00
26.95         	1.961370e+00
27            	1.949095e+00
27.05         	1.978162e+00
27.1          	1.983058e+00
27.15         	1.992244e+00
27.2          	1.996013e+00
27.25         	2.030187e+00
27.3          	2.038237e+00
27.35         	2.054620e+00
27.4          	2.077027e+00
27.45         	2.095173e+00
27.5          	2.108775e+00
27.55         	2.126555e+00
27.6          	2.147718e+00
27.65         	2.183150e+00
27.7          	2.200395e+00
27.75         	2.238384e+00
27.8          	2.267223e+00
27.85         	2.270078e+00
27.9          	2.310528e+00
27.95         	2.334654e+00
28            	2.328309e+00
28.05         	2.344556e+00
28.1          	2.359704e+00
28.15         	2.351160e+00
28.2          	2.378169e+00
28.25         	2.399044e+00
28.3          	2.406795e+00
28.35         	2.404165e+00
28.4          	2.409022e+00
28.45         	2.410930e+00
28.5          	2.398295e+00
28.55         	2.435567e+00
28.6          	2.433032e+00
28.65         	2.424792e+00
28.7          	2.389380e+00
28.75         	2.398348e+00
28.8          	2.367611e+00
28.85         	2.329429e+00
28.9          	2.360003e+00
28.95         	2.355553e+00
29            	2.346365e+00
29.05         	2.326664e+00
29.1          	2.333692e+00
29.15         	2.330036e+00
29.2          	2.305906e+00
29.25         	2.331408e+00
29.3          	2.327853e+00
29.35         	2.302330e+00
29.4          	2.330489e+00
29.45         	2.333359e+00
29.5          	2.336731e+00
29.55         	2.333570e+00
29.6          	2.258050e+00
29.65         	2.246081e+00
29.7          	2.253877e+00
29.75         	2.229296e+00
29.8          	2.229193e+00
29.85         	2.212044e+00
29.9          	2.192096e+00
29.95         	2.187747e+00
30            	2.185323e+00
30.05         	2.183669e+00
30.1          	2.177417e+00
30.15         	2.166348e+00
30.2          	2.147528e+00
30.25         	2.134410e+00
30.3          	2.113824e+00
30.35         	2.086115e+00
30.4          	2.098556e+00
30.45         	2.128625e+00
30.5          	2.136583e+00
30.55         	2.158658e+00
30.6          	2.186470e+00
30.65         	2.199591e+00
30.7          	2.222902e+00
30.75         	2.218031e+00
30.8          	2.225511e+00
30.85         	2.223040e+00
30.9          	2.253178e+00
30.95         	2.254187e+00
31            	2.246986e+00
31.05         	2.251011e+00
31.1          	2.248071e+00
31.15         	2.245210e+00
31.2          	2.239640e+00
31.25         	2.242096e+00
31.3          	2.273684e+00
31.35         	2.259657e+00
31.4          	2.266736e+00
31.45         	2.265918e+00
31.5          	2.277490e+00
31.55         	2.285206e+00
31.6          	2.295173e+00
31.65         	2.302372e+00
31.7          	2.303023e+00
31.75         	2.288843e+00
31.8          	2.271200e+00
31.85         	2.265290e+00
31.9          	2.272627e+00
31.95         	2.258148e+00
32            	2.255436e+00
32.05         	2.252144e+00
32.1          	2.233852e+00
32.15         	2.198255e+00
32.2          	2.169614e+00
32.25         	2.150110e+00
32.3          	2.111321e+00
32.35         	2.084203e+00
32.4          	2.058161e+00
32.45         	2.038945e+00
32.5          	2.010691e+00
32.55         	1.987311e+00
32.6          	1.968816e+00
32.65         	1.949483e+00
32.7          	1.958921e+00
32.75         	1.942685e+00
32.8          	1.944048e+00
32.85         	1.931118e+00
32.9          	1.898945e+00
32.95         	1.946989e+00
33            	1.956485e+00
33.05         	1.972716e+00
33.1          	1.981961e+00
33.15         	1.974553e+00
33.2          	2.001143e+00
33.25         	2.017694e+00
33.3          	2.033246e+00
33.35         	2.041443e+00
33.4          	2.048677e+00
33.45         	2.074254e+00
33.5          	2.092833e+00
33.55         	2.123873e+00
33.6          	2.163159e+00
33.65         	2.197182e+00
33.7          	2.216784e+00
33.75         	2.219290e+00
33.8          	2.264761e+00
33.85         	2.291548e+00
33.9          	2.294703e+00
33.95         	2.304260e+00
34            	2.328521e+00
34.05         	2.343945e+00
34.1          	2.365203e+00
34.15         	2.386038e+00
34.2          	2.401791e+00
34.25         	2.385143e+00
34.3          	2.407983e+00
34.35         	2.416950e+00
34.4          	2.398606e+00
34.45         	2.391236e+00
34.5          	2.415937e+00
34.55         	2.403172e+00
34.6          	2.392433e+00
34.65         	2.370380e+00
34.7          	2.378044e+00
34.75         	2.352479e+00
34.8          	2.335056e+00
34.85         	2.330150e+00
34.9          	2.317859e+00
34.95         	2.308664e+00
35            	2.289178e+00
35.05         	2.283105e+00
35.1          	2.277580e+00
35.15         	2.297238e+00
35.2          	2.255566e+00
35.25         	2.276197e+00
35.3          	2.278089e+00
35.35         	2.272871e+00
35.4          	2.287870e+00
35.45         	2.280705e+00
35.5          	2.278341e+00
35.55         	2.297674e+00
35.6          	2.177557e+00
35.65         	2.169034e+00
35.7          	2.174599e+00
35.75         	2.156272e+00
35.8          	2.140994e+00
35.85         	2.133579e+00
35.9          	2.118673e+00
35.95         	2.115909e+00
36            	2.120024e+00
36.05         	2.115932e+00
36.1          	2.112162e+00
36.15         	2.103725e+00
36.2          	2.086528e+00
36.25         	2.066184e+00
36.3          	2.058884e+00
36.35         	2.041194e+00
36.4          	2.043587e+00
36.45         	2.058024e+00
36.5          	2.082147e+00
36.55         	2.098111e+00
36.6          	2.119685e+00
36.65         	2.131748e+00
36.7          	2.159904e+00
36.75         	2.164951e+00
36.8          	2.172450e+00
36.85         	2.168706e+00
36.9          	2.199935e+00
36.95         	2.201727e+00
37            	2.204966e+00
37.05         	2.208670e+00
37.1          	2.211666e+00
37.15         	2.214296e+00
37.2          	2.198489e+00
37.25         	2.203492e+00
37.3          	2.205895e+00
37.35         	2.203047e+00
37.4          	2.218298e+00
37.45         	2.245853e+00
37.5          	2.246751e+00
37.55         	2.248046e+00
37.6          	2.246272e+00
37.65         	2.273018e+00
37.7          	2.273103e+00
37.75         	2.261912e+00
37.8          	2.248767e+00
37.85         	2.242461e+00
37.9          	2.245382e+00
37.95         	2.250894e+00
38            	2.247098e+00
38.05         	2.258324e+00
38.1          	2.236396e+00
38.15         	2.204435e+00
38.2          	2.180139e+00
38.25         	2.154509e+00
38.3          	2.131963e+00
38.35         	2.099227e+00
38.4          	2.073676e+00
38.45         	2.049327e+00
38.5          	2.020840e+00
38.55         	1.998329e+00
38.6          	1.978485e+00
38.65         	1.961337e+00
38.7          	1.952694e+00
38.75         	1.937682e+00
38.8          	1.955212e+00
38.85         	1.948170e+00
38.9          	1.940250e+00
