# Selection   : all
# Cells       : 440
# Volume      : 7.374263e+01
# Time        	minMag(U)
12.2          	5.647578e-03
12.25         	1.297452e-02
12.3          	1.854127e-02
12.35         	2.299525e-02
12.4          	2.016465e-02
12.45         	1.707076e-02
12.5          	1.462053e-02
12.55         	1.320506e-02
12.6          	1.475265e-02
12.65         	1.763628e-02
12.7          	2.091061e-02
12.75         	1.499569e-02
12.8          	2.816311e-02
12.85         	2.417765e-02
12.9          	1.388157e-02
12.95         	2.102570e-02
13            	1.088483e-02
13.05         	1.333763e-02
13.1          	2.296322e-02
13.15         	2.139113e-02
13.2          	1.943980e-02
13.25         	1.654161e-02
13.3          	1.790748e-02
13.35         	1.981907e-02
13.4          	2.173381e-02
13.45         	2.404253e-02
13.5          	2.743590e-02
13.55         	2.529960e-02
13.6          	2.343560e-02
13.65         	2.177892e-02
13.7          	2.044205e-02
13.75         	1.940673e-02
13.8          	1.822674e-02
13.85         	1.731876e-02
13.9          	1.647857e-02
13.95         	1.565129e-02
14            	1.445764e-02
14.05         	1.262832e-02
14.1          	1.054026e-02
14.15         	8.466679e-03
14.2          	6.559486e-03
14.25         	4.956327e-03
14.3          	4.120693e-03
14.35         	4.419508e-03
14.4          	5.486898e-03
14.45         	7.207855e-03
14.5          	9.029877e-03
14.55         	9.159442e-03
14.6          	7.432759e-03
14.65         	5.667304e-03
14.7          	3.923434e-03
14.75         	2.078984e-03
14.8          	8.737039e-04
14.85         	2.614224e-03
14.9          	4.935108e-03
14.95         	7.489463e-03
15            	1.017249e-02
15.05         	1.279077e-02
15.1          	1.516965e-02
15.15         	1.739560e-02
15.2          	1.952137e-02
15.25         	2.148713e-02
15.3          	2.297454e-02
15.35         	2.382753e-02
15.4          	1.603371e-02
15.45         	7.870414e-03
15.5          	2.835419e-03
15.55         	1.116189e-02
15.6          	2.070098e-02
15.65         	9.957957e-03
15.7          	2.714911e-02
15.75         	2.754382e-02
15.8          	6.422835e-03
15.85         	2.227085e-02
15.9          	2.510046e-02
15.95         	2.880224e-02
16            	1.375059e-02
16.05         	2.939484e-02
16.1          	2.759388e-02
16.15         	2.566085e-02
16.2          	2.366643e-02
16.25         	1.858513e-02
16.3          	1.924441e-02
16.35         	1.691934e-02
16.4          	1.442447e-02
16.45         	1.219414e-02
16.5          	9.984018e-03
16.55         	8.149502e-03
16.6          	7.055578e-03
16.65         	6.927702e-03
16.7          	7.734063e-03
16.75         	9.411205e-03
16.8          	1.158833e-02
16.85         	1.401667e-02
16.9          	1.666667e-02
16.95         	1.951751e-02
17            	2.250311e-02
17.05         	2.531703e-02
17.1          	2.827683e-02
17.15         	3.140589e-02
17.2          	3.449537e-02
17.25         	3.754627e-02
17.3          	3.848879e-02
17.35         	3.281989e-02
17.4          	2.952589e-02
17.45         	2.890136e-02
17.5          	3.087389e-02
17.55         	2.356033e-02
17.6          	2.896767e-02
17.65         	2.596940e-02
17.7          	2.330725e-02
17.75         	2.080420e-02
17.8          	1.821198e-02
17.85         	1.593004e-02
17.9          	1.338330e-02
17.95         	1.066511e-02
18            	7.921946e-03
18.05         	5.080382e-03
18.1          	2.104943e-03
18.15         	1.501297e-03
18.2          	5.127485e-03
18.25         	9.478066e-03
18.3          	1.473465e-02
18.35         	2.018805e-02
18.4          	2.673355e-02
18.45         	2.350875e-02
18.5          	2.024657e-02
18.55         	1.741315e-02
18.6          	1.535447e-02
18.65         	1.440967e-02
18.7          	1.308044e-02
18.75         	1.362063e-02
18.8          	1.830959e-02
18.85         	2.202144e-02
18.9          	1.635430e-02
18.95         	3.003756e-02
19            	3.549932e-02
19.05         	2.220741e-02
19.1          	1.037005e-02
19.15         	1.590622e-02
19.2          	2.141430e-02
19.25         	1.346069e-02
19.3          	1.052230e-02
19.35         	9.857640e-03
19.4          	1.008858e-02
19.45         	1.096024e-02
19.5          	1.198275e-02
19.55         	1.333538e-02
19.6          	1.402590e-02
19.65         	1.547422e-02
19.7          	1.679492e-02
19.75         	1.786318e-02
19.8          	1.891694e-02
19.85         	2.029868e-02
19.9          	2.212576e-02
19.95         	2.216497e-02
20            	2.176594e-02
20.05         	2.089180e-02
20.1          	1.952909e-02
20.15         	1.801538e-02
20.2          	1.643362e-02
20.25         	1.490028e-02
20.3          	1.308280e-02
20.35         	1.117661e-02
20.4          	8.693339e-03
20.45         	5.242404e-03
20.5          	2.127846e-03
20.55         	8.732726e-04
20.6          	3.793128e-03
20.65         	5.274513e-03
20.7          	6.418819e-03
20.75         	7.679797e-03
20.8          	8.991788e-03
20.85         	1.033979e-02
20.9          	1.155176e-02
20.95         	1.282100e-02
21            	1.272387e-02
21.05         	7.531379e-03
21.1          	5.101461e-03
21.15         	8.868898e-03
21.2          	1.319865e-02
21.25         	7.660549e-03
21.3          	1.811843e-03
21.35         	5.027727e-03
21.4          	1.294225e-02
21.45         	1.870750e-02
21.5          	2.133287e-02
21.55         	2.173304e-02
21.6          	7.130903e-03
21.65         	1.645399e-02
21.7          	2.331690e-02
21.75         	2.387738e-02
21.8          	1.824033e-02
21.85         	2.221385e-02
21.9          	1.464427e-02
21.95         	1.958455e-02
22            	2.191523e-02
22.05         	2.130798e-02
22.1          	2.064491e-02
22.15         	2.078223e-02
22.2          	2.117574e-02
22.25         	2.149778e-02
22.3          	2.177391e-02
22.35         	1.882688e-02
22.4          	1.067211e-02
22.45         	2.153060e-02
22.5          	1.908283e-02
22.55         	1.649933e-02
22.6          	1.399240e-02
22.65         	1.168946e-02
22.7          	9.673359e-03
22.75         	8.450757e-03
22.8          	8.357257e-03
22.85         	9.386174e-03
22.9          	1.120643e-02
22.95         	1.358996e-02
23            	1.632359e-02
23.05         	1.944307e-02
23.1          	2.231815e-02
23.15         	2.512452e-02
23.2          	2.653948e-02
23.25         	2.819143e-02
23.3          	3.239422e-02
23.35         	3.566839e-02
23.4          	3.407870e-02
23.45         	3.202282e-02
23.5          	3.009222e-02
23.55         	2.823752e-02
23.6          	2.597257e-02
23.65         	2.283190e-02
23.7          	2.047559e-02
23.75         	1.874973e-02
23.8          	1.698465e-02
23.85         	1.504331e-02
23.9          	1.293056e-02
23.95         	1.071708e-02
24            	8.495615e-03
24.05         	6.205479e-03
24.1          	3.719026e-03
24.15         	1.376094e-03
24.2          	2.877038e-03
24.25         	6.606128e-03
24.3          	1.110026e-02
24.35         	1.600678e-02
24.4          	2.157335e-02
24.45         	2.469688e-02
24.5          	2.801605e-02
24.55         	2.632271e-02
24.6          	2.455352e-02
24.65         	2.365768e-02
24.7          	2.259788e-02
24.75         	1.092925e-02
24.8          	2.811063e-02
24.85         	2.629066e-02
24.9          	1.579880e-02
24.95         	3.992397e-02
25            	2.936908e-02
25.05         	1.733874e-02
25.1          	1.333493e-02
25.15         	2.339255e-02
25.2          	2.709919e-02
25.25         	2.194023e-02
25.3          	1.657360e-02
25.35         	1.576424e-02
25.4          	1.535460e-02
25.45         	1.557569e-02
25.5          	1.610163e-02
25.55         	1.739232e-02
25.6          	1.828456e-02
25.65         	1.707946e-02
25.7          	1.602502e-02
25.75         	1.521799e-02
25.8          	1.472480e-02
25.85         	1.447634e-02
25.9          	1.436553e-02
25.95         	1.430526e-02
26            	1.416231e-02
26.05         	1.367302e-02
26.1          	1.256479e-02
26.15         	1.129234e-02
26.2          	1.005790e-02
26.25         	8.872367e-03
26.3          	7.701625e-03
26.35         	6.648359e-03
26.4          	5.497136e-03
26.45         	4.680035e-03
26.5          	4.550558e-03
26.55         	4.481844e-03
26.6          	1.885556e-03
26.65         	7.640419e-04
