# Selection   : all
# Cells       : 440
# Volume      : 7.374263e+01
# Time        	maxMag(U)
12.2          	2.758001e+00
12.25         	2.751815e+00
12.3          	2.745660e+00
12.35         	2.739191e+00
12.4          	2.732293e+00
12.45         	2.724942e+00
12.5          	2.725463e+00
12.55         	2.732055e+00
12.6          	2.739040e+00
12.65         	2.746368e+00
12.7          	2.753773e+00
12.75         	2.761104e+00
12.8          	2.768429e+00
12.85         	2.775447e+00
12.9          	2.782565e+00
12.95         	2.790032e+00
13            	2.797909e+00
13.05         	2.805959e+00
13.1          	2.814093e+00
13.15         	2.822323e+00
13.2          	2.830498e+00
13.25         	2.838253e+00
13.3          	2.845525e+00
13.35         	2.851959e+00
13.4          	2.857147e+00
13.45         	2.860610e+00
13.5          	2.862020e+00
13.55         	2.861565e+00
13.6          	2.859211e+00
13.65         	2.855055e+00
13.7          	2.864807e+00
13.75         	2.936172e+00
13.8          	2.971207e+00
13.85         	2.968496e+00
13.9          	2.930456e+00
13.95         	2.861399e+00
14            	3.024405e+00
14.05         	3.140188e+00
14.1          	3.192301e+00
14.15         	3.182698e+00
14.2          	3.117165e+00
14.25         	3.019002e+00
14.3          	3.124835e+00
14.35         	3.157950e+00
14.4          	3.122114e+00
14.45         	3.026004e+00
14.5          	2.881834e+00
14.55         	2.850615e+00
14.6          	2.853260e+00
14.65         	2.853884e+00
14.7          	2.852245e+00
14.75         	2.848195e+00
14.8          	2.841766e+00
14.85         	2.833209e+00
14.9          	2.887112e+00
14.95         	2.973210e+00
15            	3.037941e+00
15.05         	3.080460e+00
15.1          	3.102203e+00
15.15         	3.105404e+00
15.2          	3.093086e+00
15.25         	3.068772e+00
15.3          	3.035596e+00
15.35         	2.996687e+00
15.4          	2.954746e+00
15.45         	2.912379e+00
15.5          	2.871647e+00
15.55         	2.833534e+00
15.6          	2.813169e+00
15.65         	2.830286e+00
15.7          	2.847508e+00
15.75         	2.864060e+00
15.8          	2.879418e+00
15.85         	2.893231e+00
15.9          	2.904987e+00
15.95         	2.913411e+00
16            	2.919014e+00
16.05         	2.921309e+00
16.1          	2.920231e+00
16.15         	2.915582e+00
16.2          	2.907443e+00
