# Selection   : all
# Cells       : 440
# Volume      : 7.374263e+01
# Time        	min(p)
11.35         	-1.980110e+00
11.4          	-1.969565e+00
11.45         	-1.961995e+00
11.5          	-1.953442e+00
11.55         	-1.949605e+00
11.6          	-1.932691e+00
11.65         	-1.921547e+00
11.7          	-1.910050e+00
11.75         	-1.894130e+00
11.8          	-1.875618e+00
11.85         	-1.864305e+00
11.9          	-1.845978e+00
11.95         	-1.826847e+00
12            	-1.799582e+00
12.05         	-1.776756e+00
12.1          	-1.752547e+00
12.15         	-1.723792e+00
12.2          	-1.693783e+00
12.25         	-1.884090e+00
12.3          	-1.628200e+00
12.35         	-1.646757e+00
12.4          	-1.672774e+00
12.45         	-1.701804e+00
12.5          	-1.788667e+00
12.55         	-1.985550e+00
12.6          	-1.690002e+00
12.65         	-1.699075e+00
12.7          	-1.697202e+00
12.75         	-1.715264e+00
12.8          	-1.707563e+00
12.85         	-1.786998e+00
12.9          	-1.674141e+00
12.95         	-1.676477e+00
13            	-1.674140e+00
13.05         	-1.673110e+00
13.1          	-1.674726e+00
13.15         	-1.676949e+00
13.2          	-1.691076e+00
13.25         	-1.691149e+00
13.3          	-1.679706e+00
13.35         	-1.700493e+00
13.4          	-1.720409e+00
13.45         	-1.639763e+00
13.5          	-1.661332e+00
13.55         	-1.658311e+00
13.6          	-1.649843e+00
13.65         	-1.646562e+00
13.7          	-1.654294e+00
13.75         	-1.626142e+00
13.8          	-1.623458e+00
13.85         	-1.710887e+00
13.9          	-1.809558e+00
13.95         	-2.032091e+00
14            	-1.901040e+00
14.05         	-1.767994e+00
14.1          	-1.786083e+00
14.15         	-1.810675e+00
14.2          	-1.804414e+00
14.25         	-1.799422e+00
14.3          	-1.807297e+00
14.35         	-1.795680e+00
14.4          	-1.752212e+00
14.45         	-1.678325e+00
14.5          	-1.661474e+00
14.55         	-1.620648e+00
14.6          	-1.668242e+00
14.65         	-1.700267e+00
14.7          	-1.709815e+00
14.75         	-1.698147e+00
14.8          	-1.672844e+00
14.85         	-1.623074e+00
14.9          	-1.584679e+00
14.95         	-1.560174e+00
15            	-1.607871e+00
15.05         	-1.649301e+00
15.1          	-1.659724e+00
15.15         	-1.697674e+00
15.2          	-1.698251e+00
15.25         	-1.724249e+00
15.3          	-1.733104e+00
15.35         	-1.762406e+00
15.4          	-1.782880e+00
15.45         	-1.786215e+00
15.5          	-1.796158e+00
15.55         	-1.800003e+00
15.6          	-1.805410e+00
15.65         	-1.821304e+00
15.7          	-1.846197e+00
15.75         	-1.849556e+00
15.8          	-1.837459e+00
15.85         	-1.824832e+00
15.9          	-1.829401e+00
15.95         	-1.825357e+00
16            	-1.831295e+00
16.05         	-1.843000e+00
16.1          	-1.842663e+00
16.15         	-1.848563e+00
16.2          	-1.855034e+00
16.25         	-1.834660e+00
16.3          	-1.818850e+00
16.35         	-1.851727e+00
16.4          	-1.856520e+00
16.45         	-1.862234e+00
16.5          	-1.869608e+00
16.55         	-1.872340e+00
16.6          	-1.856176e+00
16.65         	-1.926717e+00
16.7          	-1.929681e+00
16.75         	-1.942181e+00
16.8          	-1.977784e+00
16.85         	-1.984520e+00
16.9          	-1.967240e+00
16.95         	-1.974627e+00
17            	-1.962816e+00
17.05         	-1.983884e+00
17.1          	-1.990296e+00
17.15         	-1.954774e+00
17.2          	-1.989570e+00
17.25         	-1.951780e+00
17.3          	-1.927958e+00
17.35         	-1.940362e+00
17.4          	-1.902281e+00
17.45         	-1.878177e+00
17.5          	-1.851473e+00
17.55         	-1.832753e+00
17.6          	-1.842618e+00
17.65         	-1.856174e+00
17.7          	-1.842709e+00
17.75         	-1.811760e+00
17.8          	-1.790339e+00
17.85         	-1.770573e+00
17.9          	-1.750598e+00
17.95         	-1.717652e+00
18            	-1.683387e+00
18.05         	-1.642595e+00
18.1          	-1.606357e+00
18.15         	-1.571025e+00
18.2          	-1.544490e+00
18.25         	-1.508267e+00
18.3          	-1.489103e+00
18.35         	-1.516685e+00
18.4          	-1.651958e+00
18.45         	-1.516266e+00
18.5          	-1.542917e+00
18.55         	-1.527801e+00
18.6          	-1.542759e+00
18.65         	-1.549410e+00
18.7          	-1.661460e+00
18.75         	-1.548776e+00
18.8          	-1.573061e+00
18.85         	-1.590966e+00
18.9          	-1.581631e+00
18.95         	-1.596973e+00
