time,model,err_U,err_p
0.3,FOM,,
0.4,ROM,0.0702037764943518,0.34633474696062905
0.5,ROM,0.017300893743780733,0.09843019949143804
0.6,ROM,0.0997873099121876,0.10437223601510066
0.7,ROM,0.00982075155907471,0.11171906423755053
0.8,ROM,0.01009618564449834,0.11272349991288468
0.9,ROM,0.01009618564449834,0.11272349991288468
1.0,ROM,0.01009618564449834,0.11272349991288468
1.1,ROM,0.01009618564449834,0.11272349991288468
1.2,ROM,0.01009618564449834,0.11272349991288468
1.3,ROM,0.01009618564449834,0.11272349991288468
1.4,ROM,0.01009618564449834,0.11272349991288468
1.5,ROM,0.01009618564449834,0.11272349991288468
1.6,ROM,0.01009618564449834,0.11272349991288468
1.7,ROM,0.01009618564449834,0.11272349991288468
1.8,ROM,0.01009618564449834,0.11272349991288468
1.9,ROM,0.01009618564449834,0.11272349991288468
2.0,ROM,0.01009618564449834,0.11272349991288468
2.1,ROM,0.01009618564449834,0.11272349991288468
2.2,ROM,0.01009618564449834,0.11272349991288468
2.3,ROM,0.01009618564449834,0.11272349991288468
2.4,ROM,0.01009618564449834,0.11272349991288468
2.5,ROM,0.01009618564449834,0.11272349991288468
2.6,ROM,0.01009618564449834,0.11272349991288468
2.7,ROM,0.01009618564449834,0.11272349991288468
2.8,ROM,0.01009618564449834,0.11272349991288468
2.9,ROM,0.01009618564449834,0.11272349991288468
3.0,ROM,0.01009618564449834,0.11272349991288468
3.1,ROM,0.01009618564449834,0.11272349991288468
3.2,ROM,0.01009618564449834,0.11272349991288468
3.3,ROM,0.01009618564449834,0.11272349991288468
3.4,ROM,0.01009618564449834,0.11272349991288468
3.5,ROM,0.01009618564449834,0.11272349991288468
3.6,ROM,0.01009618564449834,0.11272349991288468
3.7,ROM,0.01009618564449834,0.11272349991288468
3.8,ROM,0.01009618564449834,0.11272349991288468
3.9,ROM,0.01009618564449834,0.11272349991288468
4.0,ROM,0.01009618564449834,0.11272349991288468
4.1,ROM,0.01009618564449834,0.11272349991288468
4.2,ROM,0.01009618564449834,0.11272349991288468
4.3,ROM,0.01009618564449834,0.11272349991288468
4.4,ROM,0.01009618564449834,0.11272349991288468
4.5,ROM,0.01009618564449834,0.11272349991288468
4.6,ROM,0.01009618564449834,0.11272349991288468
4.7,ROM,0.01009618564449834,0.11272349991288468
4.8,ROM,0.01009618564449834,0.11272349991288468
4.9,ROM,0.01009618564449834,0.11272349991288468
5.0,ROM,0.01009618564449834,0.11272349991288468
